**Identified Datasets for the Department of Health and Mental Hygiene**

1.  **Violation and Penalty Records**
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
